,Mean TargetBlock.ACC
3,0.92
6,0.98
10,0.95
14,0.92
18,0.97
20,0.94
24,0.9
28,0.98
32,0.9
35,0.97
38,0.9
42,0.98
46,0.78
50,0.97
57,0.98
61,0.97
64,0.9
68,0.97
72,0.93
76,0.92
79,0.97
